Scene Number,Lines in Scene,Jurors Present,Lines Per Juror
1,74,,{}
2,0,"#3, #7, #10, #12, #2, #5, #4, #8","{'#3': 31, '#7': 20, '#10': 12, '#12': 12, '#2': 5, '#5': 4, '#4': 3, '#8': 2}"
3,0,"#10, #12, #11, #4, #7, #8","{'#10': 9, '#12': 5, '#11': 2, '#4': 2, '#7': 2, '#8': 1}"
4,0,,{}
5,453,"#3, #8, #7, #10, #12, #2, #9, #4, #6, #11, #5","{'#3': 43, '#8': 42, '#7': 33, '#10': 27, '#12': 16, '#2': 11, '#9': 10, '#4': 8, '#6': 4, '#11': 1, '#5': 1}"
6,18,"#4, #3","{'#4': 9, '#3': 2}"
7,7,"#10, #117","{'#10': 3, '#117': 2}"
8,37,"#10, #8","{'#10': 22, '#8': 2}"
9,6,#8,{'#8': 4}
10,89,"#6, #8, #3, #10, #11, #12, #5","{'#6': 17, '#8': 7, '#3': 3, '#10': 2, '#11': 1, '#12': 1, '#5': 1}"
11,32,"#8, #7, #4, #6","{'#8': 10, '#7': 4, '#4': 3, '#6': 1}"
12,136,"#3, #4, #7, #8, #10, #5, #11, #12","{'#3': 24, '#4': 13, '#7': 11, '#8': 10, '#10': 6, '#5': 6, '#11': 1, '#12': 1}"
13,0,,{}
14,5,#10,{'#10': 3}
15,231,"#8, #3, #12, #10, #4, #2, #6, #5","{'#8': 48, '#3': 17, '#12': 14, '#10': 12, '#4': 5, '#2': 3, '#6': 3, '#5': 1}"
16,111,"#4, #8, #3","{'#4': 60, '#8': 9, '#3': 4}"
17,11,#4,{'#4': 6}
18,4,#6,{'#6': 3}
19,5,#3,{'#3': 1}
20,37,"#10, #6, #12, #2, #3, #4, #7","{'#10': 2, '#6': 2, '#12': 1, '#2': 1, '#3': 1, '#4': 1, '#7': 1}"
21,23,"#6, #3, #4","{'#6': 7, '#3': 4, '#4': 3}"
22,2,#8,{'#8': 1}
23,69,"#3, #11, #2, #8, #7, #9, #4","{'#3': 23, '#11': 5, '#2': 4, '#8': 3, '#7': 2, '#9': 2, '#4': 1}"
24,6,#7,{'#7': 3}
25,135,"#8, #10, #7, #3, #11, #2, #4, #12, #5, #6, #9","{'#8': 25, '#10': 13, '#7': 12, '#3': 10, '#11': 3, '#2': 2, '#4': 2, '#12': 1, '#5': 1, '#6': 1, '#9': 1}"
26,1,,{}
27,108,"#3, #5, #11, #10, #4, #7","{'#3': 14, '#5': 6, '#11': 4, '#10': 3, '#4': 3, '#7': 1}"
28,20,"#3, #2","{'#3': 7, '#2': 1}"
29,13,"#11, #10","{'#11': 7, '#10': 2}"
30,6,#7,{'#7': 3}
31,6,#932,{'#932': 3}
32,258,"#12, #6, #9, #7, #8, #3, #2, #10, #11","{'#12': 28, '#6': 26, '#9': 26, '#7': 17, '#8': 10, '#3': 8, '#2': 2, '#10': 1, '#11': 1}"
33,0,,{}
34,28,"#6, #4","{'#6': 14, '#4': 4}"
35,7,#8,{'#8': 6}
36,15,"#4, #3","{'#4': 10, '#3': 1}"
37,4,#7,{'#7': 2}
38,108,"#8, #3, #4, #10, #9","{'#8': 28, '#3': 21, '#4': 6, '#10': 5, '#9': 2}"
39,0,,{}
40,198,"#8, #3, #4, #10, #5, #12, #7, #11, #2","{'#8': 31, '#3': 13, '#4': 12, '#10': 10, '#5': 8, '#12': 6, '#7': 4, '#11': 1, '#2': 1}"
41,30,"#8, #6, #3","{'#8': 11, '#6': 8, '#3': 2}"
42,524,"#8, #11, #3, #10, #7, #9, #5, #4, #6, #12, #2, #3RD","{'#8': 76, '#11': 57, '#3': 45, '#10': 39, '#7': 35, '#9': 30, '#5': 28, '#4': 23, '#6': 17, '#12': 14, '#2': 8, '#3RD': 2}"
43,24,#3,{'#3': 11}
44,80,"#7, #3, #5, #11, #6, #9","{'#7': 23, '#3': 8, '#5': 5, '#11': 3, '#6': 2, '#9': 2}"
45,6,"#4, #8","{'#4': 3, '#8': 1}"
46,406,"#8, #3, #10, #7, #11, #9, #2, #4, #5, #6, #12","{'#8': 104, '#3': 26, '#10': 16, '#7': 10, '#11': 9, '#9': 7, '#2': 6, '#4': 6, '#5': 5, '#6': 5, '#12': 1}"
47,7,#3,{'#3': 4}
48,15,#3,{'#3': 13}
49,4,#8,{'#8': 2}
50,3,#3,{'#3': 1}
51,0,#8,{'#8': 2}
52,0,#3,{'#3': 2}
53,0,"#8, #3","{'#8': 3, '#3': 1}"
54,85,"#8, #2, #3, #12","{'#8': 9, '#2': 8, '#3': 7, '#12': 2}"
55,3,,{}
56,429,"#3, #11, #10, #9, #7, #2, #12, #5, #6, #4, #8","{'#3': 31, '#11': 17, '#10': 16, '#9': 13, '#7': 12, '#2': 10, '#12': 9, '#5': 5, '#6': 5, '#4': 4, '#8': 3}"
57,6,#10,{'#10': 5}
58,0,"#7, #8, #11","{'#7': 10, '#8': 3, '#11': 1}"
59,5,"#5, #7","{'#5': 2, '#7': 1}"
60,4,#11,{'#11': 3}
61,92,"#7, #8, #4, #5, #11","{'#7': 17, '#8': 17, '#4': 9, '#5': 8, '#11': 1}"
62,59,"#8, #4, #7","{'#8': 16, '#4': 13, '#7': 2}"
63,19,"#4, #2, #8","{'#4': 6, '#2': 2, '#8': 2}"
64,2,"#4, #8","{'#4': 4, '#8': 2}"
65,66,"#10, #9, #2","{'#10': 18, '#9': 12, '#2': 1}"
66,9,#8,{'#8': 4}
67,0,"#11, #12, #10","{'#11': 15, '#12': 4, '#10': 2}"
68,3,#4,{'#4': 2}
69,207,"#3, #8, #11, #2, #10, #5, #12, #6","{'#3': 23, '#8': 23, '#11': 12, '#2': 12, '#10': 5, '#5': 3, '#12': 2, '#6': 2}"
70,8,#8,{'#8': 2}
71,242,"#11, #5, #7, #3, #8, #4, #12, #674, #10","{'#11': 24, '#5': 20, '#7': 16, '#3': 11, '#8': 11, '#4': 7, '#12': 1, '#674': 1, '#10': 16}"
72,682,"#4, #3, #8, #9, #10, #12, #6, #11, #7, #2, #5","{'#4': 68, '#3': 64, '#8': 59, '#9': 45, '#10': 43, '#12': 11, '#6': 7, '#11': 5, '#7': 4, '#2': 2, '#5': 1}"
73,3,#2,{'#2': 2}
74,14,"#5, #7","{'#5': 1, '#7': 1}"
75,9,"#3, #8","{'#3': 2, '#8': 1}"
76,1,,{}
77,1,,{}
78,1,,{}
79,1,,{}
80,4,#3,{'#3': 2}
81,1,#3,{'#3': 1}
82,4,#8,{'#8': 3}
83,120,#3,{'#3': 43}
