Minute,Number of Silences,Silence Durations (seconds)
0,1,72.70
1,6,"4.00, 2.84, 0.74, 1.26, 0.94, 0.98"
2,7,"0.94, 1.42, 0.66, 1.20, 2.14, 5.72, 117.24"
4,3,"2.50, 3.38, 11.66"
5,12,"1.38, 3.52, 0.70, 6.18, 0.50, 1.74, 0.60, 1.90, 0.74, 14.98, 1.30, 2.00"
6,12,"1.06, 1.08, 5.46, 0.70, 1.22, 1.42, 0.66, 1.40, 0.62, 0.52, 1.22, 0.66"
7,15,"5.38, 3.22, 3.82, 1.42, 1.34, 0.88, 0.70, 2.10, 0.86, 1.68, 0.82, 0.50, 0.66, 1.10, 1.46"
8,20,"1.56, 0.58, 0.74, 1.38, 0.58, 1.22, 0.68, 1.22, 1.00, 0.78, 0.54, 0.70, 0.66, 0.82, 1.40, 1.50, 0.88, 1.06, 0.84, 0.80"
9,14,"1.56, 0.66, 0.62, 0.54, 1.16, 0.64, 0.82, 0.76, 0.64, 0.60, 0.82, 0.66, 1.12, 1.88"
10,13,"0.62, 2.36, 2.08, 1.72, 0.70, 0.64, 0.54, 1.20, 1.40, 0.88, 0.60, 1.50, 1.54"
11,15,"1.32, 1.90, 0.68, 1.26, 0.66, 2.16, 0.84, 0.60, 1.18, 4.06, 0.96, 1.32, 1.58, 1.14, 1.52"
12,15,"1.82, 1.44, 0.54, 4.44, 0.90, 0.56, 1.06, 1.12, 0.82, 0.54, 0.62, 0.96, 0.76, 0.90, 1.66"
13,15,"0.88, 1.00, 1.12, 0.54, 1.04, 0.74, 0.66, 0.78, 6.32, 0.72, 0.68, 1.26, 1.44, 2.40, 0.64"
14,9,"0.72, 0.84, 0.78, 1.06, 0.70, 0.70, 0.72, 0.60, 0.66"
15,14,"1.24, 0.52, 1.40, 0.92, 0.52, 0.80, 0.88, 0.62, 1.62, 0.54, 0.88, 0.58, 2.94, 1.62"
16,16,"0.92, 1.20, 0.76, 0.76, 0.60, 0.56, 1.64, 0.64, 1.58, 1.74, 1.04, 1.20, 0.68, 0.80, 0.80, 0.70"
17,10,"0.74, 1.42, 0.50, 1.62, 0.76, 0.66, 0.54, 0.54, 1.34, 1.08"
18,14,"0.66, 0.86, 1.04, 0.78, 0.62, 0.84, 2.62, 2.78, 0.98, 0.56, 3.54, 1.56, 0.82, 1.18"
19,9,"0.94, 0.68, 1.38, 0.60, 0.88, 0.80, 0.88, 1.52, 0.76"
20,16,"0.54, 2.56, 1.90, 2.48, 1.94, 1.76, 1.52, 1.18, 0.92, 1.14, 1.30, 0.74, 1.08, 0.66, 0.60, 3.06"
21,13,"1.12, 1.04, 0.52, 1.76, 2.04, 5.68, 1.80, 1.76, 2.60, 1.68, 3.48, 3.86, 1.86"
22,7,"3.14, 0.74, 0.62, 0.54, 1.30, 1.06, 0.66"
23,9,"1.68, 1.66, 0.56, 2.80, 0.50, 0.52, 0.74, 0.62, 1.42"
24,10,"1.74, 0.84, 0.96, 0.98, 0.86, 1.12, 1.04, 1.34, 0.56, 3.20"
25,12,"1.98, 0.82, 0.68, 0.94, 0.50, 0.76, 1.16, 1.50, 1.10, 6.20, 0.72, 0.50"
26,10,"0.90, 0.54, 0.68, 2.38, 2.68, 0.66, 0.68, 0.60, 0.56, 1.04"
27,15,"0.94, 0.50, 0.52, 0.68, 1.06, 1.42, 1.20, 0.52, 0.58, 0.74, 0.64, 0.78, 0.62, 0.80, 0.76"
28,8,"2.72, 0.58, 0.74, 0.74, 2.38, 0.52, 0.72, 6.48"
29,8,"0.92, 0.92, 1.04, 0.82, 1.44, 0.76, 0.58, 0.50"
30,10,"1.84, 1.16, 0.88, 1.02, 0.62, 1.48, 0.64, 0.76, 3.12, 0.52"
31,9,"7.90, 1.30, 1.80, 0.80, 0.66, 2.00, 3.40, 0.66, 33.98"
32,4,"1.94, 4.90, 2.40, 0.90"
33,6,"0.50, 1.10, 0.56, 1.30, 0.72, 0.50"
